,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.1,0.3783641626652849,0.3593902483858318,0.341610361596361,0.31777708149213557,0.29735523800232455,0.2812050191795342,0.27128648602562166,0.2629258252250612,0.2603441807286317,0.2642174067231978,0.27044111174364205,0.28060642864128926,0.2928337998583057,0.30465715146249156,0.31844503464650425,0.33095257455713695,0.3434840294315135,0.3553257205701248,0.36621373666545803,0.37700093847303756
0.2,0.332425818375633,0.30664159052484685,0.2698364282291213,0.24298848182255942,0.22290252273741096,0.2102097711211687,0.19989294471052885,0.19056440945903177,0.18586748138394577,0.1843953943619309,0.18701279597907736,0.19264801288763125,0.19824653699974887,0.2034276310297387,0.2088300173694694,0.21445292024950066,0.2202367708268939,0.22614162040213226,0.23188378697350476,0.2371507488866904
0.3,0.32641840971264047,0.2804571660552008,0.23325178249969997,0.1996787393402346,0.17480897462877265,0.15784075206612216,0.14744798589996763,0.14048470532303547,0.13523959176585917,0.13290629969563605,0.13485610816278829,0.1391838211201886,0.14479854515314677,0.15015700600831908,0.15563063969285568,0.16131417385889746,0.16714534604652004,0.17285275488598187,0.17815085736245886,0.18326091591732882
0.4,0.3265375771583269,0.27998108873215144,0.22438734359402734,0.1778688664393112,0.14229212496999002,0.12199296569304291,0.10901024583709393,0.10147242905415826,0.09631552341000002,0.09245462982146162,0.09361622427701724,0.09779955429341818,0.10371503205891405,0.11007618297114335,0.11593249779076045,0.1213474264315368,0.1267553380743338,0.13202985871553055,0.13734950117311573,0.1426467014228936
0.5,0.3270862724934545,0.2840489296490491,0.22754121646145467,0.17924448506427065,0.14000478532529476,0.11037451353370481,0.0877234984406111,0.07239945107515725,0.06547031997228932,0.06128804759457215,0.061814224016189113,0.06660235065594185,0.07165783856952389,0.07691807479251968,0.0823942094706358,0.08805277711784361,0.0938756983837943,0.09970148947669005,0.10516331858975887,0.1105375059410155
0.6,0.32818434470811136,0.2882557948901866,0.23210065991745787,0.1831702760016962,0.14266527038265508,0.11238617699331772,0.08723574434267548,0.06722989199832471,0.050958395962580415,0.03938169088626401,0.03968165410975453,0.04310466832891597,0.047166920282643715,0.05168843961015988,0.05695416520615878,0.062214962587367854,0.06772403216292609,0.07340885549830062,0.07892309468124177,0.08421501378333057
0.7,0.3309893572640006,0.293408688677405,0.2374470636135868,0.18896809646784288,0.15032926027497678,0.11984935068550842,0.09291308875997117,0.07005650025636359,0.051804565650886675,0.04055419035697,0.035223578334691905,0.03172441425624301,0.030961054994526612,0.03483930039429904,0.03950083287584634,0.04478456862059505,0.050267193428771145,0.055567417178020446,0.06066788558419345,0.06556562586589128
0.8,0.3351017351520346,0.29829839271532876,0.24267517702541896,0.19573561914507004,0.15865737229630222,0.12782890266645894,0.09997212828231039,0.07722553912282522,0.058927852280769584,0.049163484537295764,0.043070449522384285,0.03882396745525703,0.03579367705126417,0.03394256433353059,0.03379387881859523,0.03510164118756038,0.038334269549834155,0.04276342161102772,0.04690899217080718,0.050994187027894176
0.9,0.33883221741077985,0.30279210377617644,0.24795737440856153,0.20194396240889206,0.1662049493658842,0.13496922794939883,0.10713274553510418,0.08546313859642862,0.06741424669404245,0.0587125612852724,0.054554309375659235,0.050846045918070355,0.04900163372715706,0.04732271731494253,0.04505712615885549,0.043249795219560114,0.04150670157075008,0.03943614866000675,0.0394401844553195,0.042040732433163475
1.0,0.34225646501244267,0.3069551025568354,0.2527476632076208,0.20793532773714923,0.1730210636415838,0.14139283541254224,0.11424052636857093,0.09310054494903237,0.07597692842415128,0.06908740283772839,0.06607602747082489,0.06258699113254446,0.06184049334959352,0.060819681355829866,0.05938676071862667,0.057214317923128026,0.05478887474664541,0.052116477132203784,0.0497466753972544,0.04699855706288781
