,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Others,30.06351446718419,29.528535980148884,28.094725511302475,28.99441340782123,26.235541535226076,24.897959183673468,28.06122448979592,27.00576822233875,27.397959183673468,26.871794871794872,26.2848751835536,24.986793449550976,26.114315679077084,27.114967462039047,28.97758337889557,26.23229461756374,28.836930455635493,31.223880597014926,29.52208106473079,30.364372469635626,31.51862464183381,30.89041095890411,36.019971469329526,35.40372670807454,34.64223385689354,38.59489051094891,40.5811623246493,43.841059602649004,44.705882352941174
Med. sci.,48.48270995059986,50.31017369727047,49.30032292787944,48.435754189944134,49.78969505783386,48.316326530612244,49.38775510204081,50.131095962244366,50.56122448979592,50.92307692307692,50.024473813020066,49.498151082937135,47.666491872050344,46.691973969631235,43.19300164024057,42.946175637393765,40.88729016786571,37.91044776119403,37.50756200846945,37.24696356275304,36.46131805157593,34.10958904109589,33.238231098430816,31.133540372670808,36.038394415357764,28.55839416058394,30.561122244488978,31.788079470198674,32.05882352941177
Disease mapping,6.916019760056457,6.761786600496278,6.3509149623250805,5.921787709497207,7.04521556256572,5.969387755102041,5.969387755102041,5.820660723649712,5.714285714285714,4.717948717948718,4.7968673519334315,3.1695721077654517,1.8877818563188253,2.6572668112798263,2.3510114816839804,1.8696883852691217,1.7386091127098322,1.0746268656716418,0.8469449485783425,0.9446693657219973,0.5730659025787965,0.136986301369863,0.28530670470756064,0.3105590062111801,0.08726003490401396,0.09124087591240876,0.0,0.26490066225165565,0.14705882352941177
Blood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07132667617689016,0.0,0.0,0.0,0.0,0.0,0.0
Appl. biotech,11.079745942131263,10.732009925558312,11.571582346609258,11.564245810055866,11.041009463722398,11.785714285714286,10.918367346938776,9.648662821185107,9.948979591836734,9.692307692307692,8.418991678903573,9.13893291072372,10.59255374934452,8.188720173535792,8.365226899945325,8.215297450424929,8.393285371702637,8.298507462686567,7.441016333938294,7.219973009446694,7.4498567335243555,8.150684931506849,6.704707560627675,7.220496894409938,5.671902268760907,7.299270072992701,6.813627254509018,6.490066225165563,3.676470588235294
Biofuel,0.14114326040931546,0.12406947890818859,0.05382131324004306,0.11173184357541899,0.10515247108307045,0.10204081632653061,0.05102040816326531,0.05243838489774515,0.10204081632653061,0.05128205128205128,0.09789525208027411,0.05282620179609086,0.0,0.05422993492407809,0.0,0.0,0.05995203836930456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08726003490401396,0.0,0.0,0.26490066225165565,0.0
Metab. eng.,7.339449541284404,7.630272952853598,8.719052744886975,7.877094972067039,7.360672975814932,7.959183673469388,6.581632653061225,6.1877294179339275,6.173469387755102,6.769230769230769,4.943710230053842,5.493924986793449,6.816990036706869,4.663774403470716,5.795516675779115,4.759206798866855,5.4556354916067145,4.835820895522388,3.9322444041137325,3.3063427800269904,5.229226361031519,4.657534246575342,4.20827389443652,4.114906832298137,3.141361256544503,4.470802919708029,3.6072144288577155,3.7086092715231787,1.7647058823529411
Pharmacology,5.010585744530698,4.900744416873449,5.651237890204521,5.139664804469274,5.573080967402734,4.540816326530612,5.0,5.873099108547457,5.255102040816326,5.487179487179487,4.992657856093979,5.54675118858954,5.558468799160986,5.260303687635575,4.702022963367961,5.1558073654390935,4.136690647482014,4.059701492537314,4.3557168784029034,4.723346828609986,4.584527220630372,3.287671232876712,4.279600570613409,4.425465838509317,4.712041884816754,3.832116788321168,3.406813627254509,3.443708609271523,2.2058823529411766
Genetic tools,0.14114326040931546,0.062034739454094295,0.0,0.055865921787709494,0.052576235541535225,0.10204081632653061,0.0,0.0,0.0,0.15384615384615385,0.048947626040137054,0.05282620179609086,0.0,0.05422993492407809,0.05467468562055768,0.0,0.05995203836930456,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.07763975155279502,0.0,0.0,0.10020040080160321,0.0,0.0
Immunology,0.4234297812279464,0.5583126550868487,0.43057050592034446,0.33519553072625696,0.4206098843322818,0.45918367346938777,0.40816326530612246,0.15731515469323545,0.35714285714285715,0.20512820512820512,0.44052863436123346,0.15847860538827258,0.2097535395909806,0.3796095444685466,0.3280481137233461,0.16997167138810199,0.11990407673860912,0.05970149253731343,0.3629764065335753,0.4048582995951417,0.14326647564469913,0.2054794520547945,0.21398002853067047,0.2329192546583851,0.0,0.09124087591240876,0.10020040080160321,0.0,0.29411764705882354
