,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
beta-gal,0.5304546089060537,0.5462840677152119,0.458731012232827,0.4145548296370082,0.4014754221764986,0.418688538669644,0.38308305240576157,0.3083508036338225,0.2692856011405037,0.23262826864257097,0.19800275482093663,0.20683363327334534,0.16642227032562903,0.15099838442287994,0.1375711110458342,0.10900469628566498,0.09405915649092161,0.100108053136719,0.0853608092355131,0.06816312987781128,0.06014955366297112,0.0463330265621529,0.04523011917406884,0.03678367902671483,0.03415652362492884,0.029275240004219855,0.028890871045737333,0.024824696832640734,0.011801498790346374
GFP,0.020938997719975806,0.0020010405410813624,0.003360666756284447,0.014648580552544458,0.00752766416580935,0.04831021600034354,0.11013637756665645,0.24807826694619148,0.4395691430381752,0.47459038757018335,0.5801017164653528,0.570510897820436,0.503921979377604,0.42554090155538893,0.4386609092422329,0.4005922588498188,0.3443236978685523,0.29873514269370116,0.29105403677659536,0.2456036584486216,0.23137072630586047,0.22246199739773412,0.2039732471140266,0.17074215190012407,0.16454769714549053,0.13661778668635932,0.12902719107805022,0.10303949507246771,0.09769018443120055
mTOR,0.0,0.0,0.0,0.0,0.0,0.0,0.010534783941158444,0.002620545073375262,0.015048313004910501,0.022975631470871206,0.025826446280991736,0.034368126374725055,0.03433186695528711,0.0723313939368341,0.06560330562328036,0.08311608091781954,0.06760501872784991,0.09057395283798386,0.10341067198134847,0.10675283832715417,0.11175513663517929,0.12725714829741994,0.12314264704165839,0.15125229211731248,0.13635501097888258,0.1437387910117101,0.1304296605462899,0.14588760193428596,0.16948263540580766
Cas9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003808193964012567,0.0,0.015921293907085524,0.05394562064572095,0.12501318704504694,0.24627363862288718,0.3536669137800872,0.36912465660916716
