,top20,top50,total
1992-1994,0.75,0.625,0.671707317
1995-1997,0.619047619,0.725490196,0.615631006
1998-2000,0.714285714,0.666666667,0.700775582
2001-2003,0.75,0.745098039,0.584814468
2004-2006,0.65,0.769230769,0.603213642
2007-2009,0.75,0.660377358,0.565781151
2010-2012,0.619047619,0.68,0.575222755
2013-2015,0.7,0.666666667,0.613463242
