,1989,1992,1994,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Genetic tools,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Others,1.0,1.0,3.0,3.0,2.0,3.0,8.0,3.0,1.0,11.0,1.0,6.0,4.0,1.0,6.0,4.0,8.0,11.0,7.0,3.0,6.0,3.0,14.0
Appl. biotech,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Med. sci.,0.0,0.0,1.0,2.0,1.0,5.0,8.0,0.0,1.0,9.0,4.0,6.0,3.0,6.0,14.0,8.0,8.0,4.0,2.0,6.0,5.0,12.0,12.0
Disease mapping,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,4.0,3.0,5.0,2.0,3.0,8.0,6.0,3.0,3.0,2.0,2.0,3.0,4.0,8.0
Immunology,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0
Pharmacology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Blood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
