,,20,50,100
1992,1995,75.0,62.5,66.66666666666666
1995,1998,61.904761904761905,72.54901960784314,71.69811320754717
1998,2001,71.42857142857143,66.66666666666666,73.58490566037736
2001,2004,75.0,74.50980392156863,73.26732673267327
2004,2007,65.0,76.92307692307693,75.72815533980582
2007,2010,75.0,66.0377358490566,77.88461538461539
2010,2013,61.904761904761905,68.0,72.11538461538461
2013,2016,70.0,66.66666666666666,70.09345794392523
