,20,50,100
1990,20.232004547715484,32.27279187095857,43.674056704327434
1991,19.23288914826703,31.407450637097554,42.362934863664364
1992,18.665429862920917,30.86856015430599,42.20151066743231
1993,18.27861458134004,30.534977173942757,41.80722232853121
1994,18.048264709540987,30.584649832068667,41.0834680930464
1995,18.05965520805816,29.69092767638715,40.550380741268214
1996,17.48389328490509,29.609331084879148,39.711160115881874
1997,17.68677377190906,29.345532764529707,39.544888486357976
1998,17.50577054943357,28.769689887293204,38.80609988120877
1999,17.818215069495245,28.653072421360644,38.82681053401609
2000,17.429014112971135,28.43814207282158,38.19343864731045
2001,17.662841810812356,28.582030517293404,38.40921879969662
2002,17.844739530132788,28.349178910976665,38.025457688379035
2003,17.319777917759254,27.87527650410911,37.0874412199874
2004,17.284439768830353,26.981405325645895,36.212479335455576
2005,17.35733149984257,26.94910135391298,36.263277279065434
2006,16.92910034896587,25.947497051420786,35.80487093126467
2007,16.89733585741989,25.921137685843572,35.32586111367624
2008,17.16127476237982,25.4848328710657,35.294955984081916
2009,16.776792395752064,25.381990330164893,34.92073601137877
2010,17.42928535732134,25.666666666666664,34.99800099950025
2011,17.017149760733936,25.363146419503725,34.83138113620704
2012,16.981156645961114,25.38188068914326,34.87127397741923
2013,17.046521795453074,24.95385063799469,34.669505797007574
2014,16.58317221513389,24.984540480458385,34.4598561286232
2015,16.458333333333332,24.685990338164252,33.959088164251206
2016,15.763855822355243,24.405747152499075,33.75469544777755
2017,15.172427298541075,24.670126309605404,33.72094389503574
2018,15.650389700190154,25.111799234879857,34.27971229077571
