,20,50,100
1990,20.232004547715484,31.73985646273005,42.961699708661975
1991,19.23288914826703,31.122134682099666,41.73070064520313
1992,18.665429862920917,30.401813978827096,41.5934154924393
1993,18.27861458134004,30.297148793089306,41.10467182417102
1994,18.048264709540987,30.37318074387362,40.54484388605548
1995,18.05965520805816,29.508309692535633,39.90030666038798
1996,17.48389328490509,29.26449604358542,39.1371557054525
1997,17.68677377190906,29.02545207537849,38.83165402468018
1998,17.50577054943357,28.318669538259467,38.02091884531064
1999,17.467081199707387,27.697512801755668,37.74871982443307
2000,16.955774866112026,27.149786116069922,36.95729057900232
2001,16.720084163139482,27.329369836648482,36.873567717890374
2002,16.996935648621044,27.100652156831934,36.51842539482989
2003,16.62467222360576,26.437455136750508,35.688440297086274
2004,16.509092399546404,25.873375869277115,34.68501086169443
2005,16.386395327168863,25.66137396143244,34.82518650842099
2006,16.08525953576596,24.939508529601305,34.677723332076894
2007,16.001592944870254,24.778950041555085,34.19233077846523
2008,16.059506451648268,24.454323207296884,34.22333556244998
2009,15.644752973394684,24.379978877089073,33.69528874170077
2010,16.209395302348824,24.363818090954524,33.81259370314842
2011,15.970891655419116,24.328686443477523,33.66525403731984
2012,16.02444730936351,24.46163395884066,33.775659473983495
2013,15.919505797007577,24.029648940993585,33.64126562601204
2014,15.556973221763872,24.15246608690207,33.427003671146664
2015,15.695954106280194,23.633001207729468,33.02272041062802
2016,14.721598681873493,23.31511839708561,32.681072338238515
2017,14.520317242729854,23.41760501321845,32.505630079310684
2018,14.725180569856672,23.982908809403913,32.92045907208514
