,,20,50,100
1992,1995,75.0,61.81818181818181,66.07142857142857
1995,1998,61.904761904761905,69.23076923076923,70.87378640776699
1998,2001,70.0,68.51851851851852,73.7864077669903
2001,2004,80.0,74.0,71.15384615384616
2004,2007,65.0,78.43137254901961,76.0
2007,2010,75.0,69.81132075471697,78.43137254901961
2010,2013,61.904761904761905,66.66666666666666,72.54901960784314
2013,2016,70.0,67.9245283018868,69.52380952380952
