,20,50,100
1990,28.46441947565543,44.19475655430712,57.927590511860174
1991,26.523297491039425,41.69653524492234,55.07765830346476
1992,23.58744394618834,37.9372197309417,51.569506726457405
1993,22.790697674418606,35.61461794019933,48.239202657807304
1994,18.06741573033708,29.30337078651685,41.30337078651685
1995,18.98403483309144,31.030478955007258,43.62844702467344
1996,15.909090909090908,27.173913043478258,38.78458498023715
1997,14.160971905846619,24.563401670463175,34.77600607441154
1998,12.866980790141355,22.18194998187749,31.64189923885466
1999,11.747285291214215,22.704837117472852,32.28035538005923
2000,13.836086008102214,23.184792770333438,33.28139607354316
2001,12.370005473453748,20.853858784893266,30.341178617040686
2002,11.91029900332226,20.365448504983387,30.465116279069765
2003,12.757064036114363,21.501421167028926,31.248955024243436
2004,12.331606217616581,21.4853195164076,31.675302245250432
2005,12.079958642081682,21.47165259348613,31.914526968809238
2006,11.07913669064748,21.183053557154278,32.917665867306155
2007,11.01958346285359,20.01865091700342,30.665216039788625
2008,11.0333048676345,20.22203245089667,30.674637062339883
2009,11.04580812445981,20.847018150388937,31.11495246326707
2010,11.181472770037995,20.10132078885471,29.491586755925457
2011,12.61139093374661,20.612165827198762,30.4726850058117
2012,11.945392491467576,20.349829351535835,29.564846416382252
2013,11.755233494363928,19.85277202668507,29.353577179664136
2014,12.039660056657224,20.845136921624174,30.335221907459868
2015,11.818980667838312,20.78207381370826,29.701230228471005
2016,13.293543136190994,22.02930005425936,30.584192439862544
2017,14.817140166378904,23.55988070946476,32.71072045204834
2018,14.077669902912621,22.798196948682385,31.81345353675451
