,,20,50,100
1992,1995,90.0,80.0,88.0
1995,1998,90.0,82.0,82.17821782178217
1998,2001,80.0,92.0,91.0
2001,2004,90.0,86.0,89.0
2004,2007,100.0,84.0,89.0
2007,2010,80.0,86.0,91.0891089108911
2010,2013,90.0,90.0,88.0
2013,2016,90.0,84.0,86.0
