,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
beta-gal,16,14,15,14,12,11,9,8,6,4,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
GFP,0,0,0,0,0,1,2,6,7,8,9,7,7,6,5,4,4,4,3,3,2,2,2,2,2,1,1,1,1
Cas9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4
